product_url,product_title,product_price,product_description
https://deuscustoms.eu/products/moretown-trucker-beluga,Moretown Trucker,€34.00 EUR,"60% Polyester 40% Nylon Mesh Classic Trucker Hat With Front Embroidered Patch, Plastic Snap Adjuster, Rear Embroidery & Woven Back Label.Wash Care - Hand wash in cold water."
https://deuscustoms.eu/products/baylands-trucker-black,Baylands Trucker Hat,€34.00 EUR,"Part of the Deus Ex Machina Classics collection.As classic as you can get, the truckies crown. First handed out by farmers and rural types to spruik their goods, the trucker cap quickly became the uniform of the highway hauler, gassy and grease monkey.Nylon mesh on the back, padding with embroidered Deus artwork up front. Adult adjustable, one size fits most.Designed and tested at the Deus House of Simple Pleasures, Camperdown, Sydney."
https://deuscustoms.eu/products/biarritz-address-trucker-hat,Biarritz Address Trucker Hat,€39.00 EUR,"Part of the Deus Ex Machina Classics collection.As classic as you can get, the truckies crown. First handed out by farmers and rural types to spruik their goods, the trucker cap quickly became the uniform of the highwayhauler, gassy and grease monkey.Nylon mesh on the back, padding with embroidered Deus artwork up front. Adult adjustable, one size fits most.Designed and tested at the Deus House of Simple Pleasures, Camperdown, Sydney."
https://deuscustoms.eu/products/shield-standard-dad-cap-black,Shield Standard Dad Cap,€34.00 EUR,TheShield Standard Dad Capis a part of the Deus Ex Machina Summer 2020 Mens Collection.This6 panel dad cap features:Front shield badge100% cotton twill fabricationSelf fabric adjusterWash Care:Hand wash in cold water
https://deuscustoms.eu/products/saber-moto-jersey-black,Saber Moto Jersey,€79.00 EUR,"After nearly twenty years of designing and road/track/trail testing jerseys, its always come back to the Saber. With a relaxed fit and timeless colourways, the Saber is our all-rounder moto jersey and a veteran member of the Deus Classics collection. Paying discreet homage to vintage racing kits in two bold colour ways with 70’s inspired graphics on front and room for a number of your choosing on the back. Regular Fit Multi Panel L/S Moto Jersey, 100% Polyester Mesh Fabrication With Garment Wash."
https://deuscustoms.eu/products/circle-logo-trucker-black,Circle Logo Trucker Hat,€39.00 EUR,"Classic trucker cap with front embroidery. polyester interlock and mesh fabrication withback snap adjuster.Designed and tested at the Deus House of Simple Pleasures, Camperdown, Sydney."
https://deuscustoms.eu/products/address-workwear-jacket-dijon,Address Workwear Jacket,€169.00 EUR,"All the aesthetic upsides of the bomber without the temperate pullbacks, workwear jackets are the mark of the practical man. Equally at home on the bike, in the city or out in the wild, the Address Workwear jacket is the perfect combination of fashion and function.Regular fit workwear jacketWool blanket liningEmbroidered address"
https://deuscustoms.eu/products/venice-address-tee-black,Venice Pocket Tee,€49.00 EUR,"This regular fit pocket tee features front and back address prints, a soft wash and comfortable 180gsm combed cotton jersey construction.Designed and tested at the Deus House of Simple Pleasures, Camperdown, Sydney."
https://deuscustoms.eu/products/address-workwear-jacket-black,Address Workwear Jacket,€169.00 EUR,"All the aesthetic upsides of the bomber without the temperate pullbacks, workwear jackets are the mark of the practical man. Equally at home on the bike, in the city or out in the wild, the Address Workwear jacket is the perfect combination of fashion and function.Regular fit workwear jacketWool blanket liningEmbroidered address100% cotton canvasSize (cms)XSSMLXLXXLChest Width5153,556596367,5Body Length61,56364,56667,569,5X Shoulder Width45,146,347,548,749,951,7Sleeve Length64,565,566,567,568,570"
https://deuscustoms.eu/products/biarritz-address-black,Biarritz Address Tee,€49.00 EUR,"Regular fit classic address print raglan hoodie. Organic cotton 380gm brushed back fleecefabrication with a garment wash.Designed and tested at the Deus House of Simple Pleasures, Camperdown, Sydney."
https://deuscustoms.eu/products/pill-trucker-black,Pill Trucker,€39.00 EUR,"The Pill Trucker is a part of the Deus Ex Machina Mens Collection.This standard trucker hat features front felt applique Deus Pill artwork, a plastic snap adjuster and woven label on back, with 100% polyester interlock and 100% polyester mesh fabrication. One size fits most.Designed and tested at the Deus House of Simple Pleasures, Camperdown, Sydney.Wash Care:Hand wash in cold water."
https://deuscustoms.eu/products/gift-card,Online Gift Card,€25.00 EUR,"Got a special someone and not sure what to get them? We've got something that'll fix that!Available in amounts from €25 to €500, the Deus online gift card is delivered by email and includes a unique web link and printable card for the recipient.These gift cards areonly redeemable online within the region of purchase.Gift cards expire three years from the date of purchase."
https://deuscustoms.eu/products/pisstin-tee-navy,Pisstin Tee,€49.00 EUR,Regular fit t-shirt with artwork on chest and back. 190gm organic cotton jersey fabrication with a garment wash
https://deuscustoms.eu/products/biarritz-address-tee-white,Biarritz Address Tee,€49.00 EUR,"Regular fit classic address print raglan hoodie. Organic cotton 380gm brushed back fleecefabrication with a garment wash.Designed and tested at the Deus House of Simple Pleasures, Camperdown, Sydney."
